query_time,cv_x,cv_xt,cv_y,cv_yt,uwb_x,uwb_xt,uwb_y,uwb_yt,dist
2022-08-17T18:16:45.000Z,-1.879,2022-08-17 18:16:44.760582+00:00,4.478,2022-08-17 18:16:44.760582+00:00,-1.43,2022-08-17 18:16:44.852709+00:00,4.807,2022-08-17 18:16:44.852709+00:00,0.5566345300104912
2022-08-17T18:16:45.100Z,-1.879,2022-08-17 18:16:44.760582+00:00,4.478,2022-08-17 18:16:44.760582+00:00,-1.43,2022-08-17 18:16:44.852709+00:00,4.807,2022-08-17 18:16:44.852709+00:00,0.5566345300104912
2022-08-17T18:16:45.200Z,-1.879,2022-08-17 18:16:44.760582+00:00,4.478,2022-08-17 18:16:44.760582+00:00,-1.096,2022-08-17 18:16:45.169272+00:00,4.905,2022-08-17 18:16:45.169272+00:00,0.8918620969634264
2022-08-17T18:16:45.300Z,-1.497,2022-08-17 18:16:45.269074+00:00,4.303,2022-08-17 18:16:45.269074+00:00,-1.096,2022-08-17 18:16:45.169272+00:00,4.905,2022-08-17 18:16:45.169272+00:00,0.7233291090506453
2022-08-17T18:16:45.400Z,-1.486,2022-08-17 18:16:45.390579+00:00,4.305,2022-08-17 18:16:45.390579+00:00,-1.096,2022-08-17 18:16:45.169272+00:00,4.905,2022-08-17 18:16:45.169272+00:00,0.7156116265125941
2022-08-17T18:16:45.500Z,-1.477,2022-08-17 18:16:45.447693+00:00,4.305,2022-08-17 18:16:45.447693+00:00,-1.096,2022-08-17 18:16:45.169272+00:00,4.905,2022-08-17 18:16:45.169272+00:00,0.7107467903550466
2022-08-17T18:16:45.600Z,-1.433,2022-08-17 18:16:45.568351+00:00,4.301,2022-08-17 18:16:45.568351+00:00,-1.096,2022-08-17 18:16:45.169272+00:00,4.905,2022-08-17 18:16:45.169272+00:00,0.6916538151416503
2022-08-17T18:16:45.700Z,-1.409,2022-08-17 18:16:45.657282+00:00,4.295,2022-08-17 18:16:45.657282+00:00,-1.096,2022-08-17 18:16:45.169272+00:00,4.905,2022-08-17 18:16:45.169272+00:00,0.6856157816153303
2022-08-17T18:16:45.800Z,-1.386,2022-08-17 18:16:45.755980+00:00,4.293,2022-08-17 18:16:45.755980+00:00,-1.096,2022-08-17 18:16:45.169272+00:00,4.905,2022-08-17 18:16:45.169272+00:00,0.6772326040586055
2022-08-17T18:16:45.900Z,-1.341,2022-08-17 18:16:45.869117+00:00,4.29,2022-08-17 18:16:45.869117+00:00,-1.096,2022-08-17 18:16:45.169272+00:00,4.905,2022-08-17 18:16:45.169272+00:00,0.6620045317065437
2022-08-17T18:16:46.000Z,-1.305,2022-08-17 18:16:45.986937+00:00,4.286,2022-08-17 18:16:45.986937+00:00,-0.753,2022-08-17 18:16:45.932255+00:00,5.099,2022-08-17 18:16:45.932255+00:00,0.9826866234970337
2022-08-17T18:16:46.100Z,-1.292,2022-08-17 18:16:46.049701+00:00,4.286,2022-08-17 18:16:46.049701+00:00,-0.753,2022-08-17 18:16:45.932255+00:00,5.099,2022-08-17 18:16:45.932255+00:00,0.9754434888808275
2022-08-17T18:16:46.200Z,-1.267,2022-08-17 18:16:46.166443+00:00,4.392,2022-08-17 18:16:46.166443+00:00,-0.753,2022-08-17 18:16:45.932255+00:00,5.099,2022-08-17 18:16:45.932255+00:00,0.8740966765753087
2022-08-17T18:16:46.300Z,-1.237,2022-08-17 18:16:46.287586+00:00,4.435,2022-08-17 18:16:46.287586+00:00,-0.777,2022-08-17 18:16:46.214851+00:00,4.782,2022-08-17 18:16:46.214851+00:00,0.5762022214466032
2022-08-17T18:16:46.400Z,-1.212,2022-08-17 18:16:46.377116+00:00,4.445,2022-08-17 18:16:46.377116+00:00,-0.777,2022-08-17 18:16:46.214851+00:00,4.782,2022-08-17 18:16:46.214851+00:00,0.5502672078181652
2022-08-17T18:16:46.500Z,-1.186,2022-08-17 18:16:46.443213+00:00,4.473,2022-08-17 18:16:46.443213+00:00,-0.777,2022-08-17 18:16:46.214851+00:00,4.782,2022-08-17 18:16:46.214851+00:00,0.512603160349212
2022-08-17T18:16:46.600Z,-1.146,2022-08-17 18:16:46.557979+00:00,4.554,2022-08-17 18:16:46.557979+00:00,-1.115,2022-08-17 18:16:46.595408+00:00,4.935,2022-08-17 18:16:46.595408+00:00,0.3822590744508225
2022-08-17T18:16:46.700Z,-1.107,2022-08-17 18:16:46.677490+00:00,4.599,2022-08-17 18:16:46.677490+00:00,-1.115,2022-08-17 18:16:46.595408+00:00,4.935,2022-08-17 18:16:46.595408+00:00,0.33609522460159946
2022-08-17T18:16:46.800Z,-1.076,2022-08-17 18:16:46.797514+00:00,4.621,2022-08-17 18:16:46.797514+00:00,-1.115,2022-08-17 18:16:46.595408+00:00,4.935,2022-08-17 18:16:46.595408+00:00,0.31641270518106485
2022-08-17T18:16:46.900Z,-1.069,2022-08-17 18:16:46.857484+00:00,4.628,2022-08-17 18:16:46.857484+00:00,-0.744,2022-08-17 18:16:46.869566+00:00,5.217,2022-08-17 18:16:46.869566+00:00,0.6727153930155005
2022-08-17T18:16:47.000Z,-1.044,2022-08-17 18:16:46.977408+00:00,4.649,2022-08-17 18:16:46.977408+00:00,-0.744,2022-08-17 18:16:46.869566+00:00,5.217,2022-08-17 18:16:46.869566+00:00,0.6423581555487559
2022-08-17T18:16:47.100Z,-1.018,2022-08-17 18:16:47.095562+00:00,4.677,2022-08-17 18:16:47.095562+00:00,-0.744,2022-08-17 18:16:46.869566+00:00,5.217,2022-08-17 18:16:46.869566+00:00,0.6055377775168119
2022-08-17T18:16:47.200Z,-1.001,2022-08-17 18:16:47.155925+00:00,4.694,2022-08-17 18:16:47.155925+00:00,-0.744,2022-08-17 18:16:46.869566+00:00,5.217,2022-08-17 18:16:46.869566+00:00,0.5827332151164885
2022-08-17T18:16:47.300Z,-0.983,2022-08-17 18:16:47.249218+00:00,4.711,2022-08-17 18:16:47.249218+00:00,-0.744,2022-08-17 18:16:46.869566+00:00,5.217,2022-08-17 18:16:46.869566+00:00,0.5596043245008023
2022-08-17T18:16:47.400Z,-0.913,2022-08-17 18:16:47.367086+00:00,4.651,2022-08-17 18:16:47.367086+00:00,-0.464,2022-08-17 18:16:47.313593+00:00,5.489,2022-08-17 18:16:47.313593+00:00,0.9507076311884743
2022-08-17T18:16:47.500Z,-0.847,2022-08-17 18:16:47.487339+00:00,4.635,2022-08-17 18:16:47.487339+00:00,-0.464,2022-08-17 18:16:47.313593+00:00,5.489,2022-08-17 18:16:47.313593+00:00,0.9359513876265156
